#STF 147      1822 2014  168  86 266   3.5   0.2  6.14  7.17 F5V+F7V   +043-417 +043-417 -12  315  O   014144.84-111928.9
       1991.66        .      .        .        .        6.557 0.014   7.740 0.016  430  90    0.3   1 TYC2000a Ht   7   
       1993.662     90.3     .       1.06      .         .     .       .     .                0.1   1 Tob2003  Ma   6   
       1993.905     93.1    0.0   :  0.93     0.00      6.1    .      7.4    .     550  24    0.7   2 WSI1999a Su P 5   
       1994.7836    94.7     .       0.982     .         .     .       .     .     503  40    0.8   1 Hor2006c S    7   
       1994.922     93.3    0.4   :  0.89     0.01       .     .       .     .     550  24    0.7   3 WSI1999a Su P 5   
       1994.952     95.9     .       1.16      .         .     .       .     .                0.6   2 Hei1996a Ma   5   
       1995.37      96.8     .       1.15      .         .     .      1.1    .                0.4   2 Alz1998b Mb   5   
       1995.742     93.6    0.5   :  0.84     0.01      6.1    .      7.4    .     550  24    0.7   2 WSI1999b Su P 5   
       1996.01      90.9     .       0.99      .         .     .       .     .                0.3   3 Kzn1998  Mb   5   
       1996.8618    94.0     .       0.808     .         .     .       .     .     549  22    2.5   1 Hrt2000a Sc   5   
       1996.8997    93.8     .       0.813     .         .     .       .     .     503  40    2.1   1 Hor2001b S    6   
       1997.058     94.0     .    :  0.77    F .         .     .       .     .     550  24    0.7   1 WSI1999c Su P 5   
       1997.50      95.3     .       0.99      .         .     .      0.9    .                0.3   2 Alz1998b Mb   5   
       1998.964     95.3     .    :  0.64    P .         .     .       .     .     559  43    0.7   1 WSI2000a Su P 5   
       1999.7801    94.7     .       0.68      .         .     .       .     .     541  88    0.6   1 Hor2000  S    5   
       1999.7801      .      .        .        .         .     .      1.08  0.15   541  88    0.6   1 Hor2001a S    7   
       2000.03      94.8     .       0.73      .         .     .      1.2    .                0.3   1 Alz2003b Mb   6   
       2000.98      93.3     .       0.66      .         .     .      1.0    .                0.3   1 Alz2003b Mb   6   
       2001.8690    94.6     .       0.573     .         .     .      0.99   .     644 128    0.6   1 Hor2006  S    6   
       2001.8690    95.9     .       0.585     .         .     .      0.94   .     541  88    0.6   1 Hor2006  S    6   
       2002.856     92.9     .    :  0.48      .         .     .       .     .     550  24    0.7   2 WSI2004a Su P 6   
       2008.727   :113.      .    :  0.18      .         .     .       .     .                0.5   1 Ant2011  C    7   
       2008.7658   109.8    0.0      0.1625   0.0000     .     .      1.0    .     657   5    4.1   1 Tok2010  S    7   
       2008.7658   109.8    0.1      0.1623   0.0002     .     .      1.1    .     551  22    4.1   1 Tok2010  S    7   
       2008.885    191.45    .       0.25      .         .     .       .     .     500        1.5   1 CTr2009  S    7   
       2009.6694   120.2     .       0.1072   0.0002     .     .      1.0    .     788 132    4.1   2 Tok2010d S    7   
       2009.6695   120.4     .       0.1065   0.0005     .     .      1.1    .     543  22    4.1   2 Tok2010d S    7   
       2011.0350  q182.9    0.9      0.0517   0.0001     .     .      1.3    .     543  22    4.1   2 Tok2012d St   7   
       2011.9419   235.9     .       0.0812    .         .     .      1.22   .     562  40    3.5   1 Hor2017  S    7   
       2011.9419   237.3     .       0.0766    .         .     .      1.15   .     692  40    3.5   1 Hor2017  S    7   
       2012.9216   253.3    0.0      0.1362   0.0000     .     .      1.1    .     543  22    4.1   2 Tok2014a St   7   
       2013.5731   260.3    0.0      0.176    0.0001     .     .      1.06   .     754 119    1.5   1 RAO2015  Ag   7   
       2013.7351   260.0    0.1      0.1805   0.0001     .     .      1.2    .     543  22    4.1   2 Tok2014a St   7   
       2014.0411   261.7    0.2      0.1941   0.0006     .     .      2.0    .     543  22    4.1   2 Tok2015c St   7   
       2014.7617   265.6    0.1      0.2197   0.0002     .     .      1.1    .     596 121    4.1   1 Tok2015c St   7   
       2014.7617   265.8    0.1      0.2197   0.0002     .     .      1.0    .     788 132    4.1   2 Tok2015c St   7   
