USNO Double Star data for WDS 18078+2606

Note: the data request software was rewritten in July 2017, following introduction of the WDS supplement. Please see the
new datarequest.key file for a description of file contents. This effort is still ongoing; your comments regarding
format, errors, or missing information are welcome.

------------------------------------------------------------------------------------------------------------------------

MEASURES:

       1950.562    182.72    .      14.229     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1950.606    182.76    .      14.175     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1951.411    182.93    .      14.243     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1951.425    182.92    .      14.243     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1951.537    182.72    .      14.205     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1951.583    182.77    .      14.202     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1951.6         .      .        .        .        5.90  0.02    5.86  0.02   550  89    2.1   1 Jhs1953  Z  D 7   
       1951.6         .      .        .        .        6.04  0.02    5.98  0.02   440  98    2.1   1 Jhs1953  Z  D 7   
       1951.6         .      .        .        .        6.12  0.03    6.06  0.03   365  68    2.1   1 Jhs1953  Z  D 7   
       1951.61     183.0     .      14.20      .        5.9    .      5.9    .                0.5   1 LeS1953  Po   0   
       1952.569    182.69    .      14.221     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1952.583    182.54    .      14.209     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1952.648    182.71    .      14.214     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1952.659    182.66    .      14.211     .         .     .       .     .                0.5   1 DeO1954  Po   0   
       1952.68     183.3     .      14.00      .         .     .       .     .                0.1   2 All1960  Ma   1   
       1952.68     182.1     .      14.28      .         .     .       .     .                0.1   2 Fer1960  Ma   1   
       1953.70     183.85    .      13.93      .         .     .       .     .                0.1   1 All1960  Ma   1   
       1954.74    :185.0     .    : 14.15      .         .     .       .     .                0.1   2 All1960  Ma   1   
       1955.410    182.71    .      14.204     .         .     .       .     .                0.5   1 Gzl1962  Po   0   
       1955.553    182.71    .      14.210     .         .     .       .     .                0.5   1 Gzl1962  Po   0   
       1955.605    182.93    .      14.209     .         .     .       .     .                0.9   1 Jef1978  Po   2   
       1955.62     183.85    .      14.30      .         .     .       .     .                0.1   1 Fer1960  Ma   1   
       1955.63     182.73    .      13.553     .         .     .       .     .                0.1   2 Bot1958  Po   0   
       1955.63     182.3     .      14.17      .         .     .       .     .                0.1   1 Fer1960  Ma   1   
       1957.44     182.98    .      14.118     .        5.9    .      5.9    .                0.2   1 Bot1962  Po   1   
       1957.48     183.9     .      14.068     .         .     .       .     .                0.2   1 WFC1975  Pa   6   
       1959.518    183.05    .      14.169     .         .     .       .     .                0.7   1 USN1963  Po   2   
       1960.          .      .        .        .         .     .      0.04   .                 .    8 Str1969b Po D 7   
       1960.503    182.93    .      14.203     .         .     .       .     .                0.7   1 USN1963  Po   2   
       1960.539    182.94    .      14.233     .         .     .       .     .                0.7   1 USN1963  Po   2   
       1961.65     183.8     .      14.33      .         .     .       .     .                0.2   4 Srb1968  Mc   2   
       1961.670    183.020   .      14.175     .         .     .       .     .                0.7   2 PkO2016  Po   7   
       1962.497    182.85    .      14.210     .         .     .       .     .                0.7   1 USN1963  Po   2   
       1962.622    182.85    .      14.220     .         .     .       .     .                0.7   1 USN1963  Po   2   
       1962.641    183.02    .      14.199     .         .     .       .     .                0.7   1 USN1963  Po   2   
       1962.663    183.00    .      14.233     .         .     .       .     .                0.7   1 USN1963  Po   2   
       1963.670    182.851   .      14.190     .         .     .       .     .                0.7   1 PkO2016  Po   7   
       1966.709    182.73    .      14.219     .         .     .       .     .                0.7   1 USN1969  Po   2   
       1967.438    182.69    .      14.215     .         .     .       .     .                0.7   1 USN1969  Po   2   
       1967.446    182.73    .      14.206     .         .     .       .     .                0.7   1 USN1969  Po   2   
       1967.484    182.68    .      14.207     .         .     .       .     .                0.7   1 USN1969  Po   2   
       1970.46     181.8     .      14.25      .         .     .       .     .                0.2   1 Bme1972  Ma   2   
       1972.999    181.0     .      14.00      .        5.9    .      0.1    .                0.1   3 Cll2003  Ma   6   
       1979.999    183.0     .      14.00      .        5.9    .      6.0    .                0.1   3 Cll2003  Ma   6   
       1981.87     182.      .      14.99      .         .     .       .     .                0.3   1 Wat1984  Mb   6   
       1981.93     184.1     .      14.54      .         .     .       .     .                0.3   5 Wat1984  Mb   6   
       1982.568    183.8     .      14.22      .         .     .       .     .                0.3   1 Lef1982  Mb   5   
       1982.7      182.9     .      15.51      .         .     .       .     .                0.3   1 Sle1983  Pa   4   
       1987.694    183.0    0.5     13.40     0.040      .     .       .     .     650        1.1   1 Bah1988  S    4   
       1988.65     183.0     .      14.45      .         .     .       .     .                0.1   5 Gel1992  Mb   5   
       1989.64    q183.1     .      14.58      .         .     .       .     .                0.1   2 Gel1992  Mb   5   
       1991.25     182.9     .      14.25      .        5.836 0.022   5.951 0.024  511 222    0.3   1 HIP1997a Hh   5   
       1991.25        .      .        .        .        5.845 0.003   5.876 0.003  530 100    0.3   1 TYC1997  Ht   7   
       1991.25        .      .        .        .        5.985 0.003   6.049 0.003  430  90    0.3   1 TYC1997  Ht   7   
       1991.585    182.0     .      14.54      .         .     .       .     .                0.3   1 Jny2003  Z    6   
       1991.62     182.9     .      14.233     .        5.839 0.009   5.811 0.009  530 100    0.3   1 TYC2000b Ht   7   
       1991.62        .      .        .        .        6.007 0.014   5.957 0.014  430  90    0.3   1 TYC2000b Ht   7   
       1991.999    182.0     .      14.21      .        5.9    .      5.9    .                0.2   1 MCO2003  Z    6   
       1992.547    182.8     .      14.44      .         .     .       .     .                0.1   1 Tob2003  Ma   6   
       1993.163    182.4     .      14.30      .         .     .       .     .                0.4   1 MCO2003  Mb   6   
       1993.51    q183.6     .      14.302     .         .     .       .     .                0.2   6 WFD1985  T    6   
       1993.932    183.2     .      14.5       .         .     .       .     .                0.3   1 Thk1998  Mb   5   
       1994.677    182.0     .      14.30      .         .     .       .     .                0.1   1 Roj2003  Ma   6   
       1995.467    184.0     .      14.00      .         .     .       .     .                0.1   1 Roj2003  Ma   6   
       1995.568    184.7     .      14.18      .         .     .       .     .                0.1   1 Tob2003  Ma   6   
       1995.65     182.6     .      14.32      .         .     .       .     .                0.2   3 Ary1998  Ma   5   
       1995.806    181.7     .      14.17      .         .     .       .     .                0.4   1 May1997  C    5   
       1996.635    183.7     .      13.97      .         .     .       .     .                0.4   1 May2003  Z    6   
       1996.636    183.74    .      13.97      .         .     .       .     .                0.4   1 May1997  C    5   
       1996.810    181.7     .      14.17      .         .     .       .     .                0.4   1 May2003  Z    6   
       2000.21     182.9     .      14.30      .        5.503 0.023   5.547 0.018 1256 245    1.3   1 TMA2003  E2   7   
       2000.21        .      .        .        .        5.434 0.031   5.591 0.034 1633 160    1.3   1 TMA2003  E2   7   
       2000.21        .      .        .        .        5.415 0.021   5.506 0.020 2210 300    1.3   1 TMA2003  E2   7   
       2000.637    182.0     .      14.37      .         .     .       .     .                0.1   1 Bvd2003  Ma   6   
       2002.305    182.9     .      14.176     .        6.96  0.25    7.16  0.45   609  70f   0.2   1 UC_2013b Eu P 7   
       2002.625   q182.58    .      14.379     .         .     .       .     .                0.3   7 Sle2003  C    6   
       2002.681    182.5     .      14.20      .         .     .       .     .     550  24    0.7   2 WSI2004a Su   6   
       2003.620    182.9     .      14.21      .         .     .       .     .     550        0.7   1 WSI2004b Su   6   
       2005.679       .      .        .        .         .     .     -0.05   .     548 110    0.2   1 Dal2006a C    6   
       2005.679    183.2     .      14.21      .         .     .      0.03   .     811 179    0.2   1 Dal2006a C    6   
       2005.707    183.13    .      14.36      .         .     .       .     .                0.3   1 Sle2007  C    7   
       2006.344    183.5     .      13.83      .         .     .       .     .                0.2   1 Arn2007b Mg   7   
       2006.3847   182.4     .      14.36      .         .     .      0.03   .                0.3  39 Btg2010  C    7   
       2006.539    183.6     .      14.23      .         .     .       .     .                0.2   1 Smr2007  C    7   
       2006.569    182.9     .      14.23      .         .     .       .     .     550        0.7   2 WSI2007a Cu   7   
       2006.666    182.9     .      14.27      .         .     .       .     .                0.2   1 Dal2007  C    7   
       2007.460    183.3     .      14.2       .         .     .       .     .                0.1   1 Gri2008  Ma   7   
       2007.503    182.9     .      14.20      .         .     .       .     .     550        0.7   2 WSI2008  Cu   7   
       2008.483    183.1     .      14.21      .         .     .       .     .     550        0.7   2 WSI2010  Cu   7   
       2008.654    183.0     .      14.21      .         .     .       .     .                0.3   1 Bvd2009f C    7   
       2010.          .      .        .        .        5.876  .      5.845  .     550  89    0.2   1 AAV2012  Zc   7   
       2010.          .      .        .        .        6.049  .      5.985  .     440  98    0.2   1 AAV2012  Zc   7   
       2010.459    183.1     .      14.21      .         .     .       .     .                0.3   1 Ant2011b C    7   
       2010.681    182.9     .      14.18      .         .     .       .     .                0.3   1 Ant2011b C    7   
       2010.6932   183.      .      14.25      .         .     .       .     .                0.8   1 UPR2014  C    7   
       2010.767    183.      .      14.3       .         .     .       .     .                 . a  1 Nug2011  C    7   
       2010.921    184.      .      14.1       .         .     .       .     .                0.3   1 DrK2011  Mb   7   
       2011.447    183.08    .      14.5       .         .     .       .     .                0.8   1 UPR2015  C    7   
       2011.514    182.8     .      14.24      .         .     .       .     .                0.7   1 WSI2012  Cu   7   
       2011.640    179.93    .      13.80      .         .     .       .     .                0.1   3 Mbr2013  C    7   
       2011.712    176.66    .      14.1       .         .     .       .     .                0.8   1 UPR2015  C    7   
       2012.471    183.     0.7     14.6      0.15       .     .       .     .                0.4   3 Nug2013  C    7   
       2013.463    181.32    .      13.93      .         .     .       .     .                0.8   1 UPR2017b C    7   
       2013.540    182.7     .      14.17      .         .     .       .     .                0.7   2 WSI2015  Cu   7   
       2013.582    182.6     .      14.36      .         .     .       .     .                0.3   1 Smr2014b C    7   
       2013.631    183.08   0.08    14.383    0.056      .     .       .     .     623 137    0.3   1 Wse2015d S    7   
       2014.512    183.3     .      14.29      .         .     .       .     .                0.7   2 WSI2015  Cu   7   
       2014.676    182.5     .      14.55      .         .     .       .     .                0.2   3 Ary2015  Ma   7   
       2015.632    183.0     .      14.37      .         .     .       .     .                0.2   4 Ctt2016  Mb   7   
       2016.469    182.88   0.37    14.293    0.066      .     .       .     .                0.2   2 Pnt2017  Cl   7   
       2016.645    183.0    0.2     14.376    0.049      .     .       .     .                0.7   1 WSI2017b Cu   7   
       2017.47     182.6    0.47    14.488    0.088      .     .       .     .                0.2   1 Pnt2018  Cl   7   
       2017.524    183.3    0.1     14.380    0.063      .     .       .     .                0.7   1 WSI2018a Cu   7   

STF2280AC    1897 2000    5 125 127  76.0  79.9  5.87 11.8  A3V       -010+026                   N    180749.56+260604.4
       1897.59     124.5     .      75.984     .         .     .       .     .                0.3   1 WFC1998  Pa   6   
       1898.61     125.2     .      75.956     .         .     .       .     .                0.3   1 WFC1998  Pa   6   
       1905.58     124.4     .      75.86      .        5.8    .     11.0    .                0.3   2 Lau1906a Ma   3   
       1944.          .      .        .        .         .     .      5.78  0.11              0.4   4 Wal1947  Zw D 7   
       1959.69     125.9     .      79.48      .         .     .       .     .                0.3   1 Wor1967a Ma   2   
       2000.21     126.6     .      79.88      .        5.547 0.018   9.671 0.024 1256 245    1.3   1 TMA2003  E2   7   
       2000.21        .      .        .        .        5.591 0.034   9.007 0.035 1633 160    1.3   1 TMA2003  E2   7   
       2000.21        .      .        .        .        5.506 0.020   8.876 0.021 2210 300    1.3   1 TMA2003  E2   7   

------------------------------------------------------------------------------------------------------------------------

ORBITAL ELEMENTS:

                  ------P-------  ---a------  --i-----  Node----  -----T-------  -e------  omega---  G  Reference
CHR  67Aa,Ab          15.83    y    0.192  a   47.2     197.9      1986.27    y  0.936     295.9     4  Msn2001a
               +/-      .            .           .         .           .          .           .    


ORBITAL EPHEMERIDES:

Name            Grade  Reference   Theta   Rho      Theta   Rho      Theta   Rho      Theta   Rho  
                                       2016.0           2017.0           2018.0           2019.0   
CHR  67Aa,Ab      4    Msn2001a    342.8   0.182    351.4   0.124    213.5   0.022    287.7   0.102

------------------------------------------------------------------------------------------------------------------------

NOTES:

CHR  67     100 Her. One component is variable.                                     .       
STF2280     AB: H 3  41.                                                            MEv2010 

------------------------------------------------------------------------------------------------------------------------

REFERENCES:

AAV2012      AAVSO Photometric All-Sky Survey (APASS), Data Release 6                            .                  
             http://www.aavso.org/apass                                                                             
             (Note: APASS photometry extracted from UCAC4 catalog; no observations dates are                        
             given, so a coarse date of 2010 was assumed for all measures. Negative errors mean                     
             the star was observed on only one night for that magnitude; therefore, the error                       
             is purely Poisson rather than nightly scatter. Due to aperture method used, APASS                      
             photometry is only included for pairs wider than 10" (Henden, private comm.)                           
All1930      Aller, R.M.                                                                         1930AN....238...71A
             AN 238, 71, 1930                                                                                       
All1947      Aller, R.M.                                                                         .                  
             Revista de Geofisica, Ano. 6, #24, 604, 1947                                                           
All1960      Aller, R.M.                                                                         1960UrBar..45..252C
             Urania Barcelona 45, 252, 1960                                                                         
Amb1919      Ambronn, L.                                                                         1919AN....208..333A
             AN 208, 333, 1919                                                                                      
And1899      Andoyer, H.                                                                         1899AnTou...3...77.
             Ann. Toulouse Obs. 3, 77, 1899                                                                         
Ant2011b     Anton, R.                                                                           2011JDSO....7...76A
             JDSO 7, 76, 2011                                                                                       
Arm1927a     Armellini, G.                                                                       .                  
             Acad. Lincei 6, 551, 1927                                                                              
Arm1928      Armellini, G.                                                                       1928AN....232..431A
             AN 232, 431, 1928                                                                                      
Arn2007b     Arnold, D.                                                                          2007JDSO....3...55A
             JDSO 3, 55, 2007                                                                                       
Ary1998      Argyle, R.W.                                                                        ...................
             Webb Soc., Double Star Circ. 7, 1998                                                                   
Ary2015      Argyle, R.W.                                                                        ...................
             Webb Soc., Double Star Circ. 23, 1, 2015                                                               
Auw1862      Auwers, A.                                                                          1862AN.....59....1A
             AN 59, 1, #1393, 1862                                                                                  
