,HD,HIP,P (yr),P_err (yr),a (mas),a_err (mas),e,e_err,i (deg),i_err (deg),w (deg),w_err (deg),bigw (deg),bigw_err (deg),T (mjd),T_err (mjd),residual (micro-as),binary_separation (mas),HIP_distance (pc),HIP_distance_err (pc),Gaia_distance (pc),Gaia_distance_err (pc),a_HIP (au),a_HIP_err (au),a_Gaia (au),a_Gaia_err (au),Mdyn_HIP (Msun),Mdyn_HIP_err (Msun),Mdyn_Gaia (Msun),Mdyn_Gaia_err (Msun),Mdyn_over_d3 (x10e-6),Mdyn_over_d3_err (x10e-6),triple,SpType (primary?),dmag_speckle_v,dmag_speckle_v_err,dmag_speckle_i,dmag_speckle_i_err,dmag_wds_v,dmag_wds_v_err,dmag_h,dmag_h_err,dmag_k,dmag_k_err,M1_ph,M2_ph,Msum_ph,Diameters,complete vsini,vsini,Gaia vsini,Gaia Teff,Gaia e_plx,Gaia Fe/H,Gaia Dist,Complete[Fe/H],G-C [Fe/H],Av,kerv_dist,e_kerv,Teff_bibcode,Teff
30,75974,43683,91.46954846,3.594520366,175.0025525,2.239676918,0.377342699,0.032459679,74.92604466,0.403196932,213.6928131,4.754373904,38.50893785,0.601548035,33474.83155,1165.454666,21.84,50.66904777,164.7446411,26.05516433,209.4986697,3.778902408,,,,,,,,,0.571219736,0.033614208,,F8,0.86,0.15,1.37,0.15,0.46,0.15,2.05,0.11,,,,,,0.476,7.0609,,7.0609,,0.086099997,,,0.9,0.9,0.066,164.7446458,0.96,2011A&A...530A.138C,5946
31,78316,44798,937.838635,704.6984491,894.414431,391.1886731,0.837698721,0.037490082,80.57346379,0.518681638,257.7008635,5.022634668,291.5067433,0.22433943,59973.7629,265.9890291,208.65,39.89354902,162.8664531,6.896624945,187.9381308,4.58463242,,,,,,,,,0.828539924,0.033024044,,B8IIImnp,,,3.31,0.15,3.42,0.17,2.93,0.19,,,,,,0.238167,15,15,,12426.2,0.129800007,-0.6533,206.0399,-0.6533,,0.066,186.4975755,0.149,1976IAUCo..32..521K,14400
32,82446,46776,6.017594447,0.00090587,32.10124636,0.005953906,0.472733316,8.89E-05,170.1696602,0.078752725,269.0148398,0.397226198,307.4224394,0.4002927,59244.79341,0.031455644,15.24,42.18755782,158.7301539,18.14058919,181.4256427,9.104362082,,,,,,,,,0.91373283,0.000602198,,A2V,0.35,0.15,0.67,0.15,0.37,0.17,0.85,0.13,,,,,,0.498793,65,65,58.9429,,0.276600003,,,,,0.067,185.2537977,0.045,2012A&A...537A.120Z,8933
33,87652,49394,146.9508592,5.978253169,304.3002435,3.46846815,0.50458994,0.029666865,68.23851464,0.830610192,14.50941788,6.179261266,90.85172471,1.259582134,64169.30712,181.4995398,114.08,112.7053034,175.1313473,17.17575381,,,,,,,,,,,1.297796807,0.131014898,,B8/9III,,,,,0.43,0.04,,,0.34,0.09,,,,0.159,20.4472,,20.4472,,0.219400004,,,,,0.07,175.1313485,0.56,2018A&A...616A...1G,8765
34,87822,49658,17.63886772,0.017384219,155.0951602,0.486816291,0.399149758,0.003118721,84.47514553,0.041190577,189.0668052,0.592049275,349.3580194,0.034566161,54023.58691,10.11796412,20.27,62.98279507,61.23698743,1.574986775,,,,,,,,,,,11.99182504,0.122061742,,F4V,,,,,0.43,0.2,0.86,0.09,,,,,,0.378669,10,10,,,,,,0.11,0.11,0,62.41807627,0.019,2018ApJS..238...29P,6573
35,107259,60129,13.11841854,0.009289003,129.2054132,0.281136321,0.096853326,0.004579152,45.59092024,0.30370999,44.13210382,2.802928314,167.6673381,0.498641293,48406.49586,29.04116847,1213.2,137.0848792,81.36696526,2.979262287,75.93475686,4.241533786,,,,,,,,,12.53706421,0.083290486,,A2IV,,,,,2.14,0.15,1.92,0.38,,,,,,0.567293,14.5,14.5,,,0.735599995,,,0.11,,0,75.93591009,0.736,1995A&AS..110..553S,9370
36,112846,63414,7.892684123,0.006964983,76.16617408,0.206263735,0.364940457,0.008986547,13.48504871,1.695961465,156.1739705,13.07171656,37.54093627,13.7561038,55724.86637,12.06450351,28.29,102.8574833,77.94232314,4.495504303,75.0491572,2.250697443,,,,,,,,,7.10444537,0.059329865,,A3III,,,,,2.3,0.14,,,,,,,,0.305334,95,95,103.4535,7769.9,0.399599999,-0.5643,87.2292,-0.5643,,0,76.81081496,0.019,2012A&A...537A.120Z,7745
37,114993,64603,60.13058451,0.203958557,242.834139,0.959501207,0.729517522,0.002134767,66.95385441,0.104498271,292.4225261,0.138682985,190.7892028,0.137882572,36212.76975,74.84495659,57.8,122.0661444,100.1001024,16.83365071,95.11942243,2.648263048,,,,,,,,,3.960604909,0.0389073,,F0V,,,,,0.4,0.08,,,0.12,0.06,,,,0.239,44.048,,44.048,7306.9,0.292699993,-0.717,91.9661,-0.717,,0.036,94.97578118,0.024,2018A&A...616A...1G,7393
38,118889,66640,22.49983409,0.013426747,200.726948,0.326236567,0.540775478,0.000657612,44.35857393,0.140446739,357.7669387,0.206101658,36.02903248,0.124824452,25882.32279,19.82514804,56.37,144.3622147,59.98800212,2.087164971,,,,,,,,,,,15.97381463,0.073151693,,F0V,,,,,0.25,0.15,0.6,0.3,,,,,,0.432,130,130,,,0.130099997,,,-0.04,-0.04,0,56.03810591,0.13,2012A&A...537A.120Z,7031
39,127726,71094,29.91054096,0.043925263,204.0113435,0.664855135,0.172469187,0.003803688,148.1884154,0.620197032,45.3580935,2.478098434,13.58613441,1.134382871,45598.12003,38.16222564,196.16,220.6272108,73.63770292,3.741532778,,,,,,,,,,,9.490215672,0.087995715,,A7Vn,,,,,0.21,0.11,1.06,0.21,,,,,,0.317,205,205,,,,,,,,0,69.84215673,0.061,2012A&A...537A.120Z,7430
