HD,B_ I/259/tyc2,B_error_I/259/tyc2,V_ I/259/tyc2,V_error_I/259/tyc2,B_TycoDouble,B_error_TycoDouble,V_TychoDouble,V_error_TycoDouble,B_B_TycoDouble,B_B_error_TycoDouble,V_B_TychoDouble,V_B_error_TycoDouble,PA(deg)_tycoDouble,Sep(arcsec),notes,B_ /276/catalog,B_error_/276/catalog,V_ /276/catalog,V_error_/276/catalog,B_ J/A+A/531/A92,B_err_J/A+A/531/A92,V_ J/A+A/531/A92,V_err_J/A+A/531/A92,V_Mag  II/237,G _I/350/gaiaedr3,G_err,J_ II/246/out,J_err,H_ II/246/out,H_err,K_ II/246/out,K_err,HD,B_I/297,V_I/297,R_I/297,B1_I/284,R1_I/284,R1_err,B2_I/284,R2_I/284,R2_err,B_complete,B_err_complete,V_complete,V_err_complete
140436,3.866,0.014,3.851,0.009,4.01,0.01,4.04,0.01,5.91,0.01,5.6,0.01,119.7,0.56,split,,,,,,,,,,4.015646,0.004243,3.62,0.194,3.691,0.206,3.67,0.226,140436,,,,3.84,3.84,0.15,3.85,3.85,0.15,3.866,0.014,3.851,0.009
144892,7.355,0.016,6.807,0.011,7.61,0.02,7.08,0.01,8.82,0.02,8.19,0.02,202,0.5,split,,,,,,,,,,6.575026,0.002856,5.708,0.026,5.48,0.026,5.424,0.017,144892,,,,7.25,6.48,0.15,7.01,6.45,0.15,7.355,0.016,6.807,0.011
145589,6.81,0.015,6.542,0.01,,,,,,,,,,,,,,,,,,,,,6.478455,0.002825,5.964,0.018,5.872,0.027,5.784,0.018,145589,,,,6.78,6.4,0.15,6.65,6.38,0.15,6.81,0.015,6.542,0.01
148283,5.749,0.014,5.554,0.009,,,,,,,,,,,,,,,,,,,,,5.473483,0.003085,5.038,0.021,5.005,0.016,4.949,0.017,148283,,,,5.72,5.46,0.15,5.63,5.45,0.15,5.749,0.014,5.554,0.009
153370,6.771,0.015,6.464,0.01,,,,,,,,,,,,,,,,,,,,,6.901965,0.008482,5.881,0.024,5.766,0.033,5.742,0.021,153370,,,,6.73,6.3,0.15,6.58,6.28,0.15,6.771,0.015,6.464,0.01
154569,7.253,0.015,7.026,0.01,,,,,,,,,,,,,,,,,,,,,6.971168,0.002792,6.553,0.02,6.461,0.029,6.425,0.02,154569,,,,7.23,6.91,0.15,7.11,6.9,0.15,7.253,0.015,7.026,0.01
156190,5.322,0.014,5.377,0.009,,,,,,,,,,,,,,,,,,,,,5.332132,0.003147,5.412,0.037,5.402,0.024,5.41,0.024,156190,,,,5.29,5.4,0.15,5.35,5.41,0.15,5.322,0.014,5.377,0.009
158140,7.556,0.016,7.146,0.011,7.86,0.02,7.45,0.01,8.89,0.02,8.48,0.01,128.7,0.52,split,,,,,,,,,,6.986857,0.002954,6.314,0.018,6.163,0.034,6.112,0.017,158140,,,,7.48,6.9,0.15,7.3,6.88,0.15,7.556,0.016,7.146,0.011
160935,7.361,0.015,6.807,0.01,,,,,,,,,,,,,,,,,,,,,6.621905,0.002776,5.722,0.023,5.472,0.017,5.437,0.016,160935,,,,7.26,6.47,0.15,7.02,6.44,0.15,7.361,0.015,6.807,0.01
163346,7.449,0.015,6.853,0.01,,,,,,,,,,,,,,,,,,,,,6.595659,0.002793,5.26,0.018,4.878,0.027,4.756,0.016,163346,,,,7.35,6.49,0.15,7.08,6.46,0.15,7.449,0.015,6.853,0.01
166045,6.007,0.014,5.839,0.009,,,,,,,,,,,,,,,,,,,,,5.85669,0.002957,5.503,0.023,5.434,0.031,5.415,0.021,166045,,,,5.99,5.74,0.15,5.9,5.73,0.15,6.007,0.014,5.839,0.009
173093,6.84,0.015,6.352,0.01,,,,,,,,,,,,,,,,,,,,,6.181289,0.002784,5.405,0.043,5.272,0.04,5.121,0.02,173093,,,,6.75,6.06,0.15,6.54,6.04,0.15,6.84,0.015,6.352,0.01
178475,5.111,0.014,5.235,0.009,,,,,,,,,,,,,,,,,,,,,5.168311,0.003558,5.37,0.018,5.487,0.053,5.47,0.018,178475,,,,5.02,5.3,0.15,5.17,5.31,0.15,5.111,0.014,5.235,0.009
179950,5.532,0.014,4.924,0.009,,,,,,,,,,,,,,,,,,,,,4.651327,0.004274,3.47,0.202,3.036,0.192,2.963,0.23,179950,,,,5.43,4.55,0.15,5.15,4.52,0.15,5.532,0.014,4.924,0.009
185404,6.365,0.014,6.325,0.01,,,,,,,,,,,,,,,,,,,,,6.327952,0.002806,6.224,0.02,6.263,0.029,6.231,0.018,185404,,,,6.35,6.3,0.15,6.34,6.3,0.15,6.365,0.014,6.325,0.01
185762,5.76,0.014,5.65,0.009,,,,,,,,,,,,,,,,,,,,,5.613424,0.002896,5.411,0.019,5.349,0.026,5.293,0.017,185762,,,,5.73,5.59,0.15,5.69,5.59,0.15,5.76,0.014,5.65,0.009
189037,5.154,0.014,5.032,0.009,,,,,,,,,,,,,,,,,,,,,4.93292,0.004403,4.517,0.248,4.604,0.034,4.492,0.016,189037,,,,5.13,4.97,0.15,5.07,4.96,0.15,5.154,0.014,5.032,0.009
189340,,,,,,,,,,,,,,,combined,6.57,0.01,5.94,0.01,,,,,,5.783474,0.006877,4.836,0.037,4.574,0.076,4.434,0.016,189340,,,,10.47,7.63,0.15,9.3,7.56,0.15,6.57,0.01,5.94,0.01
195206,6.609,0.015,6.371,0.01,,,,,,,,,,,,,,,,,,,,,6.308732,0.002789,5.849,0.018,5.748,0.044,5.674,0.02,195206,,,,6.58,6.25,0.15,6.46,6.23,0.15,6.609,0.015,6.371,0.01
